coordenadas,Record Count
"25.70410269, -100.3086493",1
"25.75427675, -100.3812944",1
"25.6607393, -100.3012034",1
"25.686262, -100.341518",1
"25.67016034, -100.3043605",1
"25.70855164, -100.3402135",1
"25.71292722, -100.342457",1
"25.73191602, -100.3735542",1
"25.70212961, -100.3712632",1
"25.758516, -100.388176",1
"25.66210365, -100.2943938",1
"25.66707289, -100.3156499",1
"25.7044788, -100.2774645",1
"25.73623805, -100.3969169",1
"25.65753014, -100.303858",1
"25.5860733, -100.2497291",1
"25.63718009, -100.2834113",1
"25.66127261, -100.3142315",1
"25.7843113, -100.3748755",1
"25.68497184, -100.3229536",1
"25.674695, -100.402962",1
"25.73839274, -100.3299419",1
"25.71412178, -100.3805529",1
"25.65975712, -100.3060756",1
"25.65701109, -100.3010331",1
"25.6091012, -100.2689073",1
"25.70343678, -100.277524",1
"25.65902108, -100.3306924",1
"25.7230187, -100.3424656",1
"25.6396494, -100.314952",1
"25.67561063, -100.3250108",1
"25.6940884, -100.2801484",1
"25.7371249, -100.3932252",1
"25.6963525, -100.2922246",1
"25.76730698, -100.4097822",1
"25.72417586, -100.3683607",1
"25.66144938, -100.3049965",1
"25.60692592, -100.2690026",1
"25.695631, -100.295102",1
"25.67452413, -100.2759457",1
"25.63381422, -100.281281",1
"25.59527962, -100.2603655",1
"25.675823, -100.3192914",1
"25.5966242, -100.2614262",1
"25.61140644, -100.2709741",1
"25.62844021, -100.2843132",1
"25.66490796, -100.3177903",1
"25.6548762, -100.2943568",1
"25.78003029, -100.3973317",1
"25.73880955, -100.3333387",1
"25.72216605, -100.3334993",1
"25.67321078, -100.3521926",1
"25.68537446, -100.3266231",1
"25.6544126, -100.2782117",1
"25.76657038, -100.3686903",1
"25.7395438, -100.3322972",1
"25.70800728, -100.3562531",1
"25.7572335, -100.3785852",1
"25.5559993, -100.2323128",1
"25.75273433, -100.3705031",1
"25.68780897, -100.3128004",1
"25.73611483, -100.3426472",1
"25.72883829, -100.390352",1
"25.7533233, -100.3797061",1
"25.70478934, -100.3483681",1
"25.5798288, -100.2366756",1
"25.66513967, -100.3460404",1
"25.70907183, -100.3275272",1
"25.71659225, -100.3475577",1
"25.65718049, -100.2979199",1
"25.75474535, -100.3600546",1
"25.66346895, -100.3082163",1
"25.67038638, -100.3400058",1
"25.68343023, -100.2766341",1
"25.740095, -100.371427",1
"25.719276, -100.349107",1
"25.68225312, -100.3057035",1
"25.7010811, -100.3451375",1
"25.7420334, -100.3614655",1
"25.72559892, -100.389846",1
"25.67527808, -100.3298835",1
"25.703622, -100.333001",1
"25.6408608, -100.2838603",1
"25.7438597, -100.3634254",1
"25.77421271, -100.3721557",1
"25.68195723, -100.2931152",1
"25.669737, -100.2818452",1
"25.65074486, -100.2990966",1
"25.6189236, -100.2641501",1
"25.69517885, -100.336948",1
"25.64298583, -100.2738788",1
"25.70734551, -100.3142241",1
"25.68810135, -100.3166939",1
"25.68329121, -100.3075388",1
